Id,League,GameDate,Round,Venue,HomeTeamName,AwayTeamName,HomeTeamScore,AwayTeamScore,HomeMinorScore,AwayMinorScore
BSE1WWUSCCASG20140816,Boys' Saturday East 11 Wallabies,15/08/2014 11:00:00 PM,Round 15,Terrara Park - Junior 1,Whitehorse United SC,Croydon City Arrows SC Green,,,,
BSE1WMJSDRSY20140816,Boys' Saturday East 11 Wallabies,16/08/2014 12:15:00 AM,Round 15,Esther Park Reserve - Junior 2 (MiniRoos),Mooroolbark Junior SC,Doncaster Rovers SC Yellow,,,,
BSE1WBEFB1WRS20140816,Boys' Saturday East 11 Wallabies,16/08/2014 12:30:00 AM,Round 15,Macleay Park - Pitch 1 North,Boroondara Eagles FC Boys 11 Wallabies,Riversdale SC,,,,
BSE1WSYSNCF20140816,Boys' Saturday East 11 Wallabies,16/08/2014 1:00:00 AM,Round 15,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Nunawading City FC,,,,
BSE1WTUFDRSO20140816,Boys' Saturday East 11 Wallabies,16/08/2014 1:30:00 AM,Round 15,Veneto Club - David Barro Stadium (S),Templestowe United FC,Doncaster Rovers SC Orange,,,,
BSE1WRCFOCCASR20140816,Boys' Saturday East 11 Wallabies,16/08/2014 2:00:00 AM,Round 15,Jubilee Park (S),Ringwood City FC Orange,Croydon City Arrows SC Red,,,,
BSE1WCCASGRCFO20140823,Boys' Saturday East 11 Wallabies,23/08/2014 12:00:00 AM,Round 16,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Green,Ringwood City FC Orange,,,,
BSE1WDRSYBEFB1W20140823,Boys' Saturday East 11 Wallabies,23/08/2014 1:00:00 AM,Round 16,Anderson Park,Doncaster Rovers SC Yellow,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WDRSOCCASR20140823,Boys' Saturday East 11 Wallabies,23/08/2014 1:00:00 AM,Round 16,Anderson Park,Doncaster Rovers SC Orange,Croydon City Arrows SC Red,,,,
BSE1WNCFRF20140823,Boys' Saturday East 11 Wallabies,23/08/2014 1:00:00 AM,Round 16,Mahoneys Reserve,Nunawading City FC,Richmond FC,,,,
BSE1WAUSGMJS20140823,Boys' Saturday East 11 Wallabies,23/08/2014 1:15:00 AM,Round 16,Willison Park - SSF 1 (U11),Ashburton United SC Green,Mooroolbark Junior SC,,,,
BSE1WRSWUS20140823,Boys' Saturday East 11 Wallabies,23/08/2014 2:30:00 AM,Round 16,Hartwell Reserve - SSF 1 (U11),Riversdale SC,Whitehorse United SC,,,,
BSE1WTUFSYS20140823,Boys' Saturday East 11 Wallabies,23/08/2014 3:45:00 AM,Round 16,Veneto Club - David Barro Stadium (S),Templestowe United FC,South Yarra SC,,,,
BSE1WRFTUF20140906,Boys' Saturday East 11 Wallabies,5/09/2014 11:00:00 PM,Round 17,Kevin Bartlett Reserve - Bastow 2,Richmond FC,Templestowe United FC,,,,
BSE1WCCASRCCASG20140906,Boys' Saturday East 11 Wallabies,6/09/2014 12:15:00 AM,Round 17,Belmont Park - Pitch 2 (MiniRoos),Croydon City Arrows SC Red,Croydon City Arrows SC Green,,,,
BSE1WMJSNCF20140906,Boys' Saturday East 11 Wallabies,6/09/2014 12:15:00 AM,Round 17,Esther Park Reserve - Junior 1,Mooroolbark Junior SC,Nunawading City FC,,,,
BSE1WBEFB1WAUSG20140906,Boys' Saturday East 11 Wallabies,6/09/2014 1:00:00 AM,Round 17,Macleay Park - Junior 3,Boroondara Eagles FC Boys 11 Wallabies,Ashburton United SC Green,,,,
BSE1WSYSDRSO20140906,Boys' Saturday East 11 Wallabies,6/09/2014 1:00:00 AM,Round 17,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Doncaster Rovers SC Orange,,,,
BSE1WRCFORS20140906,Boys' Saturday East 11 Wallabies,6/09/2014 1:00:00 AM,Round 17,Jubilee Park (S),Ringwood City FC Orange,Riversdale SC,,,,
BSE1WWUSDRSY20140906,Boys' Saturday East 11 Wallabies,6/09/2014 1:00:00 AM,Round 17,Terrara Park,Whitehorse United SC,Doncaster Rovers SC Yellow,,,,
BSE1WRSCCASR20140913,Boys' Saturday East 11 Wallabies,12/09/2014 11:00:00 PM,Round 18,Belmont Park - Pitch 2 (MiniRoos),Riversdale SC,Croydon City Arrows SC Red,,,,
BSE1WDRSYRCFO20140913,Boys' Saturday East 11 Wallabies,13/09/2014 12:00:00 AM,Round 18,Anderson Park,Doncaster Rovers SC Yellow,Ringwood City FC Orange,,,,
BSE1WDRSOCCASG20140913,Boys' Saturday East 11 Wallabies,13/09/2014 1:00:00 AM,Round 18,Anderson Park,Doncaster Rovers SC Orange,Croydon City Arrows SC Green,,,,
BSE1WSYSRF20140913,Boys' Saturday East 11 Wallabies,13/09/2014 1:00:00 AM,Round 18,Fawkner Park South Pavilion - Junior 1,South Yarra SC,Richmond FC,,,,
BSE1WNCFBEFB1W20140913,Boys' Saturday East 11 Wallabies,13/09/2014 1:00:00 AM,Round 18,Mahoneys Reserve,Nunawading City FC,Boroondara Eagles FC Boys 11 Wallabies,,,,
BSE1WAUSGWUS20140913,Boys' Saturday East 11 Wallabies,13/09/2014 1:00:00 AM,Round 18,Terrara Park,Ashburton United SC Green,Whitehorse United SC,,,,
BSE1WTUFMJS20140913,Boys' Saturday East 11 Wallabies,13/09/2014 3:45:00 AM,Round 18,Veneto Club - David Barro Stadium (S),Templestowe United FC,Mooroolbark Junior SC,,,,
