Address1,FullAddress,Address2,Address3,Suburb,State,Postcode,Latitude,Longitude,GooglePlacesId
George Andrews Reserve - Pitch 2,"George Andrews Reserve, Dandenong South VIC 3175, Australia",,,Dandenong South,VIC,3175,-38.0022526,145.2114216,ChIJbRpM-e4T1moRQK0xBXZWBA8
JL Murphy Reserve - SS Anderson Oval - Pitch 2,"J L Murphy Reserve, 430 Plummer Street, Port Melbourne VIC 3207, Australia",430 Plummer Street,,Port Melbourne,VIC,3207,-37.8330491,144.9288377,ChIJX9CYuZBn1moRoIkxBXZWBA8
George Andrews Reserve - Pitch 1,"George Andrews Reserve, Dandenong South VIC 3175, Australia",,,Dandenong South,VIC,3175,-38.0022526,145.2114216,ChIJbRpM-e4T1moRQK0xBXZWBA8
Sparks Reserve,"Sparks Reserve, Ivanhoe VIC 3079, Australia",,,Ivanhoe,VIC,3079,-37.7788591,145.0360767,ChIJ0zQFmghE1moRIDEyBXZWBA8
V.E. Vibert Reserve - Pitch 2,"V E Vibert Reserve, Shepparton VIC 3630, Australia",,,Shepparton,VIC,3630,-36.4016249,145.4073655,ChIJE-0vEVKB2GoRAPBCFKV5BQ8
Jack Edwards Reserve - Pitch 1,"Jack Edwards Reserve, Oakleigh VIC 3166, Australia",,,Oakleigh,VIC,3166,-37.9060971,145.0986198,ChIJ7brci_lq1moRgJ0xBXZWBA8
John McEwen Reserve - Pitch 2,"John McEwen Reserve, Shepparton VIC 3630, Australia",,,Shepparton,VIC,3630,-36.3558638,145.3980248,ChIJRboqsH6E2GoRsPBCFKV5BQ8
Harvest Home Recreation Reserve - Pitch 1 (S),"Harvest Home Recreation Reserve, Harvest Home Road, Epping VIC 3076, Australia",Harvest Home Road,,Epping,VIC,3076,-37.6245588,145.0257272,ChIJqTIOwCFM1moRpASabWduQM0
Dunstan Reserve - Pitch 1,"Dunstan Reserve, Brunswick West VIC 3055, Australia",,,Brunswick West,VIC,3055,-37.7548651,144.9401917,ChIJAUH6eqJc1moR0HUxBXZWBA8
Dobson Reserve - Pitch 1,"Dobson Reserve, Maidstone VIC 3012, Australia",,,Maidstone,VIC,3012,-37.7874625,144.8669336,ChIJMyyVOg9e1moRkN4xBXZWBA8
Broadmeadows Valley Park - Pitch 1,"Broadmeadows Valley Park, Barry Road, Meadow Heights VIC 3049, Australia",Barry Road,,Meadow Heights,VIC,3049,-37.6652934,144.9158323,ChIJbRdn7oZQ1moRwEkxBXZWBA8
Avondale Heights Reserve - Pitch 2,"Avondale Heights Reserve, Avondale Heights VIC 3034, Australia",,,Avondale Heights,VIC,3034,-37.7626427,144.8583394,ChIJI9hzhWNe1moRAHgxBXZWBA8
Broadmeadows Valley Park - Pitch 3 (S),"Broadmeadows Valley Park, Barry Road, Meadow Heights VIC 3049, Australia",Barry Road,,Meadow Heights,VIC,3049,-37.6652934,144.9158323,ChIJbRdn7oZQ1moRwEkxBXZWBA8
Avondale Heights Reserve - Pitch 1,"Avondale Heights Reserve, Avondale Heights VIC 3034, Australia",,,Avondale Heights,VIC,3034,-37.7626427,144.8583394,ChIJI9hzhWNe1moRAHgxBXZWBA8
Epsom Huntly Recreation Reserve - Pitch 2,"Epsom Huntly Recreation Reserve, 353 Midland Highway, Huntly VIC 3551",353 Midland Highway,,Huntly,VIC,3551,-36.6870225,144.3188365,ChIJW0fLQ6xZ12oRAmm9q0QJrW4
Green Gully Reserve - Pitch 2,"Green Gully Reserve, Keilor Downs VIC 3038, Australia",,,Keilor Downs,VIC,3038,-37.7270959,144.8191613,ChIJj1t4FBhf1moR-Vfg1YbQ4-o
Hosken Reserve - Pitch 1,"Hosken Reserve, Coburg North VIC 3058, Australia",,,Coburg North,VIC,3058,-37.7250571,144.9573978,ChIJCZP1oy1b1moRwG8xBXZWBA8
Churchill Reserve - Pitch 3,"Churchill Reserve, Saint Albans VIC 3021, Australia",,,Saint Albans,VIC,3021,-37.7332801,144.8150383,ChIJfQFJyRFf1moR4HAxBXZWBA8
Churchill Reserve - Pitch 1,"Churchill Reserve, Saint Albans VIC 3021, Australia",,,Saint Albans,VIC,3021,-37.7332801,144.8150383,ChIJfQFJyRFf1moR4HAxBXZWBA8
John McEwen Reserve - Pitch 1,"John McEwen Reserve, Shepparton VIC 3630, Australia",,,Shepparton,VIC,3630,-36.3558638,145.3980248,ChIJRboqsH6E2GoRsPBCFKV5BQ8
Jack Edwards Reserve - Pitch 2,"Jack Edwards Reserve, Oakleigh VIC 3166, Australia",,,Oakleigh,VIC,3166,-37.9060971,145.0986198,ChIJ7brci_lq1moRgJ0xBXZWBA8
Harvest Home Recreation Reserve - Pitch 2,"Harvest Home Recreation Reserve, Harvest Home Road, Epping VIC 3076, Australia",Harvest Home Road,,Epping,VIC,3076,-37.6245588,145.0257272,ChIJqTIOwCFM1moRpASabWduQM0
Epsom Huntly Recreation Reserve - Pitch 3,"Epsom Huntly Recreation Reserve, 353 Midland Highway, Huntly VIC 3551",353 Midland Highway,,Huntly,VIC,3551,-36.6870225,144.3188365,ChIJW0fLQ6xZ12oRAmm9q0QJrW4
Churchill Reserve - Pitch 2,"Churchill Reserve, Saint Albans VIC 3021, Australia",,,Saint Albans,VIC,3021,-37.7332801,144.8150383,ChIJfQFJyRFf1moR4HAxBXZWBA8
JL Murphy Reserve - SS Anderson Oval - Pitch 1,"J L Murphy Reserve, 430 Plummer Street, Port Melbourne VIC 3207, Australia",430 Plummer Street,,Port Melbourne,VIC,3207,-37.8330491,144.9288377,ChIJX9CYuZBn1moRoIkxBXZWBA8
V.E. Vibert Reserve - Pitch 1,"V E Vibert Reserve, Shepparton VIC 3630, Australia",,,Shepparton,VIC,3630,-36.4016249,145.4073655,ChIJE-0vEVKB2GoRAPBCFKV5BQ8
